id,slug,name,description,difficulty,youtube_url,cues,log_mode,created_by,is_public,created_at,updated_at
5f2b797a-c569-4312-b781-e67070f227f2,bench-press,Bench Press (Barbell),Flat barbell press for chest/shoulders/triceps.,3,https://www.youtube.com/watch?v=gRVjAtPip0Y,"[""Feet planted"",""Shoulders retracted"",""Touch lower chest"",""Press to lockout""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
ec516eb8-38c4-404f-889a-a8fc566fa49a,chest-press-machine,Chest Press (Machine),Guided machine press; easier setup and stability than barbell.,2,https://www.youtube.com/watch?v=6I9IJtSML7k,"[""Seat so handles align mid-chest"",""Elbows ~45°"",""Control tempo"",""Don’t lock shoulders forward""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
ff7805a3-3914-47c8-abb3-4f8aefadf0e9,dumbbell-bench-press,Dumbbell Bench Press,Flat bench press with dumbbells; greater range of motion and stability.,2,https://www.youtube.com/watch?v=VmB1G1K7v94,"[""Shoulders set"",""Wrists neutral"",""DBs to mid-chest"",""Press in slight arc""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
141b54ea-d908-4129-8a94-2e4e02dfdcde,dumbbell-shoulder-press,Dumbbell Shoulder Press,Overhead press with dumbbells; trains delts and triceps.,3,https://www.youtube.com/watch?v=B-aVuyhvLHU,"[""Core braced"",""Elbows slightly forward"",""Press overhead"",""Head through at top""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
a83c1ede-ed4c-4c4d-b51a-b408966c37c5,incline-bench-press,Incline Bench Press (Barbell),Press on 15–30° bench; upper-chest emphasis.,3,https://www.youtube.com/watch?v=SrqOu55lrYU,"[""Scaps retracted"",""Touch upper chest"",""Forearms vertical"",""Control lower, drive up""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
699010b2-a7a4-4a1c-950e-cbb004bbeaea,lat-pulldown,Lat Pulldown,Vertical pull on cable machine; lats and upper back.,2,https://www.youtube.com/watch?v=CAwf7n6Luuc,"[""Chest tall"",""Pull elbows to ribs"",""Bar to upper chest"",""Control the return""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
42be1efa-682d-4a40-9567-479b6ce69dbb,overhead-triceps-extension-cable,Overhead Triceps Extension (Cable),Cable rope extension from overhead position; long head emphasis.,2,https://www.youtube.com/watch?v=G3o5sZQnJxw,"[""Elbows stay fixed"",""Ribs down"",""Full elbow extension"",""Slow eccentric""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
daf92e2f-878f-441e-9f5e-9e5d75f142f7,standing-overhead-triceps-extension-db,Standing Overhead Triceps Extension (DB),Single or double dumbbell overhead triceps extension.,3,https://www.youtube.com/watch?v=-Vyt2QdsR7E,"[""Elbows narrow"",""Brace glutes & abs"",""Lower behind head"",""Extend to lockout without flaring""]",reps_weight,null,true,2025-11-07 13:55:11.591988+00,2025-11-07 13:59:18.491381+00
ac826afe-d309-4780-8f1e-abcf9905a41a,treadmill,Treadmill Run/Walk,Cardio performed on treadmill at chosen pace or incline.,1,https://www.youtube.com/watch?v=MWjE5_8jZKc,"[""Start slow"",""Keep posture upright"",""Avoid holding handles"",""Gradually increase speed""]",time,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
ba15edf2-63a2-442e-b614-a17a949582ff,single-arm-dumbbell-row,Single-Arm Dumbbell Row,Horizontal pull for lats and upper back using one dumbbell and bench support.,2,https://www.youtube.com/watch?v=pYcpY20QaE8,"[""Flat back"",""Row elbow close"",""Pause at ribs"",""Control the descent""]",reps_weight,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
b1f56dbd-240c-42f2-a157-5e678fdb136d,seated-cable-row,Seated Cable Row,Horizontal pull on cable row machine; mid-back focus.,2,https://www.youtube.com/watch?v=GZbfZ033f74,"[""Chest up"",""Pull to lower ribs"",""Squeeze shoulder blades"",""Control return""]",reps_weight,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
a7dbdfa5-d846-4211-aa6b-a0491c23e779,bicep-curl,Bicep Curl,Classic dumbbell curl for biceps development.,1,https://www.youtube.com/watch?v=ykJmrZ5v0Oo,"[""Elbows stay close"",""Full range of motion"",""Don’t swing"",""Squeeze at top""]",reps_weight,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
92ffbb4c-4909-4952-a8df-5d724164572a,concentration-curl,Concentration Curl,Seated single-arm curl focusing on biceps isolation.,2,https://www.youtube.com/watch?v=soxrZlIl35U,"[""Elbow pressed into thigh"",""Controlled tempo"",""Squeeze at top"",""Full extension at bottom""]",reps_weight,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
6e95536f-db9a-4995-bc7b-3b8153288f27,chest-dips,Chest Dips,Bodyweight dip leaning forward to target lower chest and triceps.,3,https://www.youtube.com/watch?v=2z8JmcrW-As,"[""Lean slightly forward"",""Elbows ~45°"",""Lower until stretch"",""Drive up powerfully""]",reps,null,true,2025-11-07 13:59:18.491381+00,2025-11-07 13:59:18.491381+00
