id,name,description,icon,category,criteria,secret,created_at,updated_at
dcb51a97-fcbe-429c-941d-081db82edce6,First Step Taken,Completed onboarding.,🏁,milestone,"{""type"":""onboarding_complete""}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
dfd63d17-9c44-4d2f-be1b-ed6bfa94f064,Showed Up Today,Opened the app / signed in.,🔓,milestone,"{""type"":""app_open_count"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
a6b68dab-e206-48da-9caf-d3629e781d27,You Did It,Completed your first workout.,✨,workout,"{""type"":""workout_count"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
1043a035-3f56-46ff-8a4e-592c7fdeaaa3,Courage Counts,Started a workout even when feeling nervous.,🧠,social,"{""mood"":""anxious"",""type"":""workout_started_with_mood""}",true,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
41860f68-c33b-492a-beee-5908e41e91b0,Tiny but Mighty,Completed at least one exercise.,🧩,workout,"{""type"":""exercise_complete_count"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
1af9cca9-bd9c-4b1b-b01e-00e8211c4599,Trying is Winning,"Completed a workout at a comfortable, low intensity.",🌱,workout,"{""type"":""workout_completed"",""intensity_max"":""low""}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
44b6819d-3765-4e24-a9e9-1ff0f1e4e6df,Momentum Starter,Logged in two days in a row.,➡️,consistency,"{""days"":2,""type"":""streak_days"",""dimension"":""login"",""forgiving"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
e90f0d80-4765-481d-ac83-9f8f2c63a742,Two-Day Start,2-day workout streak.,🗓️,consistency,"{""days"":2,""type"":""streak_days"",""dimension"":""workout"",""forgiving"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
6a8938be-fc0f-43d7-94fe-cbfa53fd3819,Steady Steps,Completed 3 workouts in one week.,👣,consistency,"{""type"":""workouts_in_week"",""count"":3,""forgiving"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
14756219-843c-4689-8d09-94b2b6d140b0,Routine Beginner,1-week streak.,📅,consistency,"{""type"":""streak_weeks"",""weeks"":1,""dimension"":""workout"",""forgiving"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
2d23605a-8a9c-4edb-a087-325b284f5961,Finding Your Flow,2-week streak.,🔁,consistency,"{""type"":""streak_weeks"",""weeks"":2,""dimension"":""workout"",""forgiving"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
29470dea-4d51-4590-91a7-678e0754de1c,Building a Habit,30 active days.,🧱,consistency,"{""days"":30,""type"":""active_days"",""forgiving"":true}",true,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
b17f2a0b-f14b-400f-bae9-11b3c5f64461,Sticking With It,Logged workouts for 2 months.,⏳,consistency,"{""type"":""months_with_workouts"",""months"":2,""forgiving"":true}",true,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
3c47133b-459c-4158-9fb7-ac79888570ee,Showed Up Despite Anxiety,Completed a workout after logging anxiety.,💪🧠,social,"{""type"":""workout_after_mood"",""previous_mood"":""anxious""}",true,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
9b3ec12a-74a9-4f00-9508-07405c588f8b,Calm First,Used a calming/breathing tool before exercising.,🫁,social,"{""tool"":""breathing"",""type"":""tool_used"",""window_before_workout_min"":60}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
356e303e-0287-4eb2-a4a7-04b770588782,Confidence Spark,Logged feeling more confident.,🌟,social,"{""mood"":""confident"",""type"":""mood_log""}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
ffe0156a-ebd8-4e91-a9fb-95e5ed1a34f8,Small Social Step,Engaged once in the anonymous community.,💬,social,"{""type"":""community_action"",""count"":1,""action"":""post_or_reply"",""anonymous"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
254d86a1-807f-4838-83f7-a9940ae2e6fc,Reached Out,Used help/exercise guidance instead of avoiding a question.,🆘,social,"{""type"":""guidance_request"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
27591905-422c-4b11-bcf2-fb58497c53a3,Clear Mind Moment,Logged feeling calm during or after a workout.,🧘,social,"{""mood"":""calm"",""type"":""mood_log_after_workout""}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
71c72297-2012-4a58-ab94-7dc3a24688d5,Self-Proud,Recorded a positive self-reflection.,💖,social,"{""type"":""journal_entry"",""sentiment"":""positive""}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
ff0946dd-9814-4e25-8c64-f6da929a8cb3,Learner Mode,Watched the first exercise guide.,🎓,milestone,"{""type"":""guide_watched"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
c355dd1b-21a8-4881-9dbf-54259368ea1c,Form First,Practiced proper form for an exercise (form practice mode).,📐,milestone,"{""type"":""form_practice"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
5ba1edaf-3d28-41d5-9dda-e2112cf81116,New Move Explorer,Tried a new exercise.,🧭,milestone,"{""type"":""new_exercise_tried"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
858995bb-9ad5-42ea-a59c-01b09e6162b0,Plan Follower,Completed first planned routine.,🗺️,milestone,"{""type"":""planned_routine_complete"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
39dceeff-e603-435f-8a17-bbf60ffb3fdd,Mind-Body Connection,Logged feeling stronger or more aware of form.,🧠💪,milestone,"{""type"":""mood_log"",""mood_any_of"":[""strong"",""aware""]}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
c34371c4-dbc0-4c27-8065-29c1f2ff4ccd,Recovery Day,Took a planned rest day.,🌤️,milestone,"{""type"":""rest_day"",""planned"":true}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
bd74b71d-1811-4ecd-bf5e-6fafaa47b20c,Checked In,Logged a mood.,📝,milestone,"{""type"":""mood_log_count"",""count"":1}",false,2025-11-07 14:08:41.919067+00,2025-11-07 14:08:41.919067+00
